batch,loss,avg_loss,rate,seconds,images
452,0.477,0.97,0.00010894,0.057972,1808
453,0.605,0.934,0.00010991,0.057719,1812
454,1.055,0.946,0.00011088,0.06360199999999999,1816
455,0.022,0.854,0.00011186,0.06629,1820
456,0.018,0.77,0.00011285,0.06634999999999999,1824
457,2.3,0.923,0.00011384,0.064888,1828
458,1.037,0.934,0.00011484,0.062296,1832
459,0.549,0.896,0.00011585,0.06547599999999999,1836
460,0.168,0.823,0.00011686,0.06647700000000001,1840
461,1.641,0.905,0.00011788,0.067854,1844
462,1.28,0.942,0.00011891,0.068466,1848
463,1.457,0.994,0.00011994,0.06797199999999999,1852
464,1.039,0.998,0.00012098,0.064295,1856
465,0.678,0.966,0.00012203,0.06964000000000001,1860
466,0.654,0.935,0.00012308,0.06708700000000001,1864
467,0.886,0.93,0.00012414,0.065093,1868
468,0.718,0.909,0.00012521,0.068574,1872
469,0.016,0.82,0.00012628,0.066541,1876
470,1.364,0.874,0.00012736,0.065995,1880
471,0.438,0.83,0.00012845,0.067951,1884
472,0.018,0.749,0.00012954,0.060385,1888
473,1.17,0.791,0.00013064,0.057707999999999995,1892
474,1.831,0.895,0.00013175,0.062749,1896
475,1.823,0.988,0.00013287,0.061797,1900
476,0.762,0.965,0.00013399,0.065413,1904
477,0.624,0.931,0.00013512,0.060008000000000006,1908
478,0.14,0.852,0.00013625,0.058012999999999995,1912
479,1.323,0.899,0.0001374,0.062503,1916
480,1.99,1.008,0.00013855,0.061894,1920
481,0.037,0.911,0.00013971,0.056813,1924
482,2.104,1.031,0.00014087,0.062138,1928
483,1.152,1.043,0.00014205,0.061619,1932
484,0.677,1.006,0.00014323,0.062584,1936
485,0.395,0.945,0.00014441,0.061223999999999994,1940
486,0.889,0.939,0.00014561,0.060691,1944
487,1.405,0.986,0.00014681,0.059929,1948
488,0.336,0.921,0.00014802,0.061638,1952
489,1.947,1.024,0.00014924,0.059588999999999996,1956
490,0.501,0.971,0.00015046,0.061628,1960
491,1.143,0.988,0.00015169,0.055264,1964
492,2.489,1.138,0.00015293,0.056609,1968
493,2.366,1.261,0.00015418,0.059432,1972
494,1.093,1.244,0.00015543,0.060056,1976
495,0.694,1.189,0.0001567,0.058761,1980
496,0.838,1.154,0.00015797,0.059231,1984
497,0.574,1.096,0.00015925,0.060656,1988
498,0.935,1.08,0.00016053,0.053741,1992
499,0.017,0.974,0.00016182,0.053747,1996
500,0.446,0.921,0.00016313,0.056683,2000
501,0.015,0.83,0.00016443,0.06350399999999999,2004
502,0.006,0.748,0.00016575,0.054765,2008
503,0.004,0.674,0.00016708,0.055045000000000004,2012
504,1.178,0.724,0.00016841,0.054658,2016
505,0.933,0.745,0.00016975,0.05996,2020
